"Building capacity per subsector, per end use, per input energy, and per vintage"
vintage,Sub,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Capacity_units,Capacities
2005,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,MW,38.36122698608217
2005,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,20.232080859225864
2005,Commercial,Space Heating,___,___,District Heating,___,MW,68.66725656716947
2005,Commercial,Water Heating,___,___,District Heating,___,MW,5.461639927067947
2005,Commercial,Water Heating,___,___,Electricity,Standard,MW,4.348507419530957
2005,Commercial,Water Heating,___,___,Light Fuel Oil,Standard,MW,3.0132289970345396
2005,Commercial,Water Heating,___,___,Natural Gas,Standard,MW,79.95451122583306
2005,Commercial,Water Heating,___,___,Propane,Standard,MW,1.0743080071116726
2005,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
2005,Public,Space Cooling,___,___,Electricity,Standard,MW,87.69607415412418
2005,Public,Space Cooling,___,___,Natural Gas,Standard,MW,14.507236978138872
2005,Public,Space Heating,Furnace,___,Electricity,Standard,MW,6.109607408296004
2005,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,5.641516764518759
2005,Public,Space Heating,Furnace,___,Natural Gas,Standard,MW,122.10581190946097
2005,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,6.49405549351191
2005,Public,Space Heating,___,___,District Heating,___,MW,31.320015041499335
2005,Public,Water Heating,___,___,District Heating,___,MW,2.131148471147541
2005,Public,Water Heating,___,___,Electricity,Standard,MW,1.1213943960309356
2005,Public,Water Heating,___,___,Light Fuel Oil,Standard,MW,2.071130259868062
2005,Public,Water Heating,___,___,Natural Gas,Standard,MW,13.127868026129923
2005,Residential,Clothe Dryer,___,___,Electricity,Standard,kunits,363.3240243094242
2005,Residential,Clothe Dryer,___,___,Natural Gas,Standard,kunits,25.109679150583784
2005,Residential,Clothe Washer,___,___,Electricity,Standard,kunits,353.0107508431462
2005,Residential,Dish Washer,___,___,Electricity,Standard,kunits,241.44582134441072
2005,Residential,Freezer,___,___,Electricity,Standard,kunits,69.59257852566105
2005,Residential,Range,___,___,Electricity,Standard,kunits,465.9553461890886
2005,Residential,Range,___,___,Natural Gas,Standard,kunits,32.20263032026446
2005,Residential,Refrigerator,___,___,Electricity,Standard,kunits,221.61925032101323
2005,Residential,Space Cooling,Central,___,Electricity,Standard,MW,481.4845032154094
2005,Residential,Space Cooling,___,___,District Cooling,___,MW,1.480012968639973
2005,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,8.746753577795392
2005,Residential,Space Heating,Furnace,___,Natural Gas,High,MW,697.1671833380108
2005,Residential,Space Heating,Furnace,___,Natural Gas,Medium,MW,219.22132638527552
2005,Residential,Space Heating,Heat Pump,___,Electricity,Standard,MW,351.5069963580449
2005,Residential,Space Heating,Plinthe,___,Electricity,Standard,MW,36.444806574147464
2005,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
2005,Residential,Water Heating,___,___,Electricity,Standard,MW,26.51461892038325
2005,Residential,Water Heating,___,___,Light Fuel Oil,Standard,MW,1.3561500701680673
2005,Residential,Water Heating,___,___,Natural Gas,Standard,MW,242.2424155735119
2010,Commercial,Auxiliary Equipment,___,___,Electricity,Standard,kunits,341.15377657128494
2010,Commercial,Auxiliary Equipment,___,___,Natural Gas,Standard,kunits,33.99982177431883
2010,Commercial,Auxiliary Equipment,___,___,Propane,Standard,kunits,18.969198139668087
2010,Commercial,Auxiliary Motors,___,___,Electricity,Standard,kunits,35.34729803857453
2010,Commercial,Lighting,Fluorescent,___,Electricity,Standard,Mlm,7162.342825920141
2010,Commercial,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,31.467209127483457
2010,Commercial,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,31.46720912748341
2010,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
2010,Commercial,Space Cooling,___,___,Electricity,Standard,MW,398.09658017870123
2010,Commercial,Space Cooling,___,___,Natural Gas,Standard,MW,12.249125543960037
2010,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,2.992163824447848
2010,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,MW,594.9051346433566
2010,Commercial,Space Heating,Furnace,___,Propane,Standard,MW,15.614751400886398
2010,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,MW,38.36122698608218
2010,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,20.23208085922587
2010,Commercial,Space Heating,___,___,District Heating,___,MW,68.66725656716946
2010,Commercial,Street Lighting,Light Emitting Diode,___,Electricity,Standard,kunits,2124.1804446843194
2010,Commercial,Water Heating,___,___,District Heating,___,MW,5.461639927067947
2010,Commercial,Water Heating,___,___,Electricity,Standard,MW,4.348507419530958
2010,Commercial,Water Heating,___,___,Light Fuel Oil,Standard,MW,3.013228997034539
2010,Commercial,Water Heating,___,___,Natural Gas,Standard,MW,79.95451122583306
2010,Commercial,Water Heating,___,___,Propane,Standard,MW,1.0743080071116726
2010,Public,Auxiliary Equipment,___,___,Electricity,Standard,kunits,39.951874347614265
2010,Public,Auxiliary Equipment,___,___,Natural Gas,Standard,kunits,4.9321580162353476
2010,Public,Auxiliary Motors,___,___,Electricity,Standard,kunits,8.339623042900348
2010,Public,Lighting,Fluorescent,___,Electricity,Standard,Mlm,469.6488386756401
2010,Public,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,2.0633664964490888
2010,Public,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,2.063366496449086
2010,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
2010,Public,Space Cooling,___,___,Electricity,Standard,MW,87.69607415412418
2010,Public,Space Cooling,___,___,Natural Gas,Standard,MW,14.507236978138874
2010,Public,Space Heating,Furnace,___,Electricity,Standard,MW,6.109607408296004
2010,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,5.641516764518759
2010,Public,Space Heating,Furnace,___,Natural Gas,Standard,MW,122.10581190946097
2010,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,6.49405549351191
2010,Public,Space Heating,___,___,District Heating,___,MW,31.32001504149933
2010,Public,Water Heating,___,___,District Heating,___,MW,2.131148471147541
2010,Public,Water Heating,___,___,Electricity,Standard,MW,1.1213943960309356
2010,Public,Water Heating,___,___,Light Fuel Oil,Standard,MW,2.071130259868062
2010,Public,Water Heating,___,___,Natural Gas,Standard,MW,13.127868026129923
2010,Residential,Clothe Dryer,___,___,Electricity,Standard,kunits,363.3240243094242
2010,Residential,Clothe Dryer,___,___,Natural Gas,Standard,kunits,25.10967915058378
2010,Residential,Clothe Washer,___,___,Electricity,Standard,kunits,353.0107508431462
2010,Residential,Dish Washer,___,___,Electricity,Standard,kunits,241.44582134441072
2010,Residential,Freezer,___,___,Electricity,Standard,kunits,69.59257852566105
2010,Residential,Lighting,Fluorescent,___,Electricity,Standard,Mlm,1017.3777907607384
2010,Residential,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,4.469772039906849
2010,Residential,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,4.469772039906845
2010,Residential,Range,___,___,Electricity,Standard,kunits,465.9553461890886
2010,Residential,Range,___,___,Natural Gas,Standard,kunits,32.20263032026446
2010,Residential,Refrigerator,___,___,Electricity,Standard,kunits,221.61925032101323
2010,Residential,Space Cooling,Central,___,Electricity,Standard,MW,481.4845032154094
2010,Residential,Space Cooling,Room,___,Electricity,Standard,MW,60.22655787070423
2010,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
2010,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,8.746753577795392
2010,Residential,Space Heating,Furnace,___,Natural Gas,High,MW,697.1671833380108
2010,Residential,Space Heating,Furnace,___,Natural Gas,Medium,MW,219.22132638527552
2010,Residential,Space Heating,Heat Pump,___,Electricity,Standard,MW,351.5069963580449
2010,Residential,Space Heating,Plinthe,___,Electricity,Standard,MW,36.44480657414747
2010,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
2010,Residential,Water Heating,___,___,Electricity,Standard,MW,26.51461892038325
2010,Residential,Water Heating,___,___,Light Fuel Oil,Standard,MW,1.3561500701680673
2010,Residential,Water Heating,___,___,Natural Gas,Standard,MW,242.24241557351192
2015,Commercial,Auxiliary Equipment,___,___,Electricity,Standard,kunits,341.153776571285
2015,Commercial,Auxiliary Equipment,___,___,Natural Gas,Standard,kunits,33.99982177431884
2015,Commercial,Auxiliary Equipment,___,___,Propane,Standard,kunits,18.969198139668087
2015,Commercial,Auxiliary Motors,___,___,Electricity,Standard,kunits,35.34729803857453
2015,Commercial,Lighting,Fluocompact,___,Electricity,Standard,Mlm,1958.2754789916573
2015,Commercial,Lighting,Fluorescent,___,Electricity,Standard,Mlm,7162.342825920142
2015,Commercial,Lighting,Halogen,___,Electricity,Standard,Mlm,4203.613110926938
2015,Commercial,Lighting,Incandescent,___,Electricity,Standard,Mlm,13501.124501127426
2015,Commercial,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,31.467209127483454
2015,Commercial,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,31.467209127483414
2015,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
2015,Commercial,Space Cooling,___,___,Electricity,Standard,MW,398.0965801787013
2015,Commercial,Space Cooling,___,___,Natural Gas,Standard,MW,12.249125543960036
2015,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,2.9921638244478483
2015,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,MW,594.9051346433567
2015,Commercial,Space Heating,Furnace,___,Propane,Standard,MW,15.6147514008864
2015,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,MW,38.36122698608217
2015,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,20.232080859225867
2015,Commercial,Space Heating,___,___,District Heating,___,MW,68.66725656716946
2015,Commercial,Street Lighting,Light Emitting Diode,___,Electricity,Standard,kunits,2124.1804446843194
2015,Commercial,Water Heating,___,___,District Heating,___,MW,5.461639927067947
2015,Commercial,Water Heating,___,___,Electricity,Standard,MW,4.348507419530957
2015,Commercial,Water Heating,___,___,Light Fuel Oil,Standard,MW,3.0132289970345396
2015,Commercial,Water Heating,___,___,Natural Gas,Standard,MW,79.95451122583304
2015,Commercial,Water Heating,___,___,Propane,Standard,MW,1.0743080071116728
2015,Public,Auxiliary Equipment,___,___,Electricity,Standard,kunits,39.951874347614265
2015,Public,Auxiliary Equipment,___,___,Natural Gas,Standard,kunits,4.932158016235347
2015,Public,Auxiliary Motors,___,___,Electricity,Standard,kunits,8.339623042900348
2015,Public,Lighting,Fluocompact,___,Electricity,Standard,Mlm,128.40795628869682
2015,Public,Lighting,Fluorescent,___,Electricity,Standard,Mlm,469.6488386756401
2015,Public,Lighting,Halogen,___,Electricity,Standard,Mlm,275.6391398417744
2015,Public,Lighting,Incandescent,___,Electricity,Standard,Mlm,885.295160659268
2015,Public,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,2.0633664964490888
2015,Public,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,2.063366496449086
2015,Public,Space Cooling,___,___,District Cooling,___,MW,1.406661722499941
2015,Public,Space Cooling,___,___,Electricity,Standard,MW,87.69607415412419
2015,Public,Space Cooling,___,___,Natural Gas,Standard,MW,14.507236978138874
2015,Public,Space Heating,Furnace,___,Electricity,Standard,MW,6.109607408296003
2015,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,5.641516764518759
2015,Public,Space Heating,Furnace,___,Natural Gas,Standard,MW,122.10581190946098
2015,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,6.49405549351191
2015,Public,Space Heating,___,___,District Heating,___,MW,31.32001504149933
2015,Public,Water Heating,___,___,District Heating,___,MW,2.131148471147541
2015,Public,Water Heating,___,___,Electricity,Standard,MW,1.1213943960309356
2015,Public,Water Heating,___,___,Light Fuel Oil,Standard,MW,2.071130259868062
2015,Public,Water Heating,___,___,Natural Gas,Standard,MW,13.127868026129923
2015,Residential,Other Appliances,Other,___,Electricity,Standard,kunits,15195.0938527596
2015,Residential,Clothe Dryer,___,___,Electricity,Standard,kunits,363.3240243094242
2015,Residential,Clothe Dryer,___,___,Natural Gas,Standard,kunits,25.10967915058378
2015,Residential,Clothe Washer,___,___,Electricity,Standard,kunits,353.0107508431462
2015,Residential,Dish Washer,___,___,Electricity,Standard,kunits,241.44582134441072
2015,Residential,Freezer,___,___,Electricity,Standard,kunits,69.59257852566105
2015,Residential,Lighting,Fluocompact,___,Electricity,Standard,Mlm,278.1640070770431
2015,Residential,Lighting,Fluorescent,___,Electricity,Standard,Mlm,1017.3777907607384
2015,Residential,Lighting,Halogen,___,Electricity,Standard,Mlm,597.1038700536237
2015,Residential,Lighting,Incandescent,___,Electricity,Standard,Mlm,1917.7725154447735
2015,Residential,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,4.469772039906849
2015,Residential,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,4.469772039906844
2015,Residential,Range,___,___,Electricity,Standard,kunits,465.9553461890886
2015,Residential,Range,___,___,Natural Gas,Standard,kunits,32.20263032026446
2015,Residential,Refrigerator,___,___,Electricity,Standard,kunits,221.61925032101323
2015,Residential,Space Cooling,Central,___,Electricity,Standard,MW,481.4845032154094
2015,Residential,Space Cooling,Room,___,Electricity,Standard,MW,60.22655787070423
2015,Residential,Space Cooling,___,___,District Cooling,___,MW,1.480012968639973
2015,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,8.746753577795392
2015,Residential,Space Heating,Furnace,___,Natural Gas,High,MW,697.1671833380108
2015,Residential,Space Heating,Furnace,___,Natural Gas,Medium,MW,219.22132638527552
2015,Residential,Space Heating,Heat Pump,___,Electricity,Standard,MW,351.50699635804483
2015,Residential,Space Heating,Plinthe,___,Electricity,Standard,MW,36.444806574147464
2015,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
2015,Residential,Water Heating,___,___,Electricity,Standard,MW,26.51461892038325
2015,Residential,Water Heating,___,___,Light Fuel Oil,Standard,MW,1.3561500701680673
2015,Residential,Water Heating,___,___,Natural Gas,Standard,MW,242.24241557351192
2016,Commercial,Auxiliary Equipment,___,___,Electricity,Standard,kunits,0.2029062463614412
2016,Commercial,Auxiliary Equipment,___,___,Natural Gas,Standard,kunits,0.19522901056304678
2016,Commercial,Auxiliary Equipment,___,___,Propane,Standard,kunits,0.09251421282489354
2016,Commercial,Auxiliary Motors,___,___,Electricity,Standard,kunits,0.12482160303198914
2016,Commercial,Lighting,Fluocompact,___,Electricity,Standard,Mlm,0.05049604882488427
2016,Commercial,Lighting,Fluorescent,___,Electricity,Standard,Mlm,0.21471769676722177
2016,Commercial,Lighting,Halogen,___,Electricity,Standard,Mlm,0.0071354270000000015
2016,Commercial,Lighting,Incandescent,___,Electricity,Standard,Mlm,0.020401262
2016,Commercial,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,0.2713718715007164
2016,Commercial,Space Cooling,___,___,District Cooling,___,MW,0.5409790068360278
2016,Commercial,Space Cooling,___,___,Electricity,Standard,MW,3.199967079359403
2016,Commercial,Space Cooling,___,___,Natural Gas,Standard,MW,0.3293938377222283
2016,Commercial,Space Heating,Furnace,___,Electricity,Standard,MW,0.1684280623560499
2016,Commercial,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,MW,0.17212669647758064
2016,Commercial,Space Heating,Furnace,___,Kerosene,Standard,MW,0.17211710283289905
2016,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,1.2419485086701836
2016,Commercial,Space Heating,Furnace,___,Natural Gas,High,MW,0.35097881526467545
2016,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,MW,150.78689066838294
2016,Commercial,Space Heating,Furnace,___,Propane,Standard,MW,3.848859784370449
2016,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,MW,7.0764858268249915
2016,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,7.043218693728773
2016,Commercial,Space Heating,___,___,District Heating,___,MW,17.17169935161642
2016,Commercial,Street Lighting,Light Emitting Diode,___,Electricity,Standard,kunits,0.06113654372333712
2016,Commercial,Water Heating,___,___,District Heating,___,MW,0.30829422642141396
2016,Commercial,Water Heating,___,___,Electricity,Standard,MW,0.2548379925761345
2016,Commercial,Water Heating,___,___,Heavy Fuel Oil,Standard,MW,0.14861366048637203
2016,Commercial,Water Heating,___,___,Kerosene,Standard,MW,0.1486164192509715
2016,Commercial,Water Heating,___,___,Light Fuel Oil,Standard,MW,0.21198044460279636
2016,Commercial,Water Heating,___,___,Natural Gas,Standard,MW,2.382681295140153
2016,Commercial,Water Heating,___,___,Propane,Standard,MW,0.1536726731058704
2016,Public,Auxiliary Equipment,___,___,Electricity,Standard,kunits,0.003949265568312697
2016,Public,Auxiliary Equipment,___,___,Natural Gas,Standard,kunits,0.005289052911243418
2016,Public,Auxiliary Motors,___,___,Electricity,Standard,kunits,0.0032613203224971157
2016,Public,Lighting,Fluorescent,___,Electricity,Standard,Mlm,0.00457251924484023
2016,Public,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,0.004828296802507103
2016,Public,Space Cooling,___,___,District Cooling,___,MW,8.918709488671396
2016,Public,Space Cooling,___,___,Electricity,Standard,MW,4.610143914128449
2016,Public,Space Cooling,___,___,Natural Gas,Standard,MW,2.7471556437420612
2016,Public,Space Heating,Furnace,___,Electricity,Standard,MW,0.003954963710948789
2016,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,0.0019697691128693993
2016,Public,Space Heating,Furnace,___,Natural Gas,Standard,MW,0.011145355369017156
2016,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,0.00378258411714721
2016,Public,Space Heating,___,___,District Heating,___,MW,0.004842984064480872
2016,Public,Water Heating,___,___,District Heating,___,MW,12.455566789912544
2016,Public,Water Heating,___,___,Electricity,Standard,MW,0.4377487272816925
2016,Public,Water Heating,___,___,Heavy Fuel Oil,Standard,MW,0.24312368201228482
2016,Public,Water Heating,___,___,Kerosene,Standard,MW,0.2431898242528312
2016,Public,Water Heating,___,___,Light Fuel Oil,Standard,MW,0.7371498234223108
2016,Public,Water Heating,___,___,Natural Gas,Standard,MW,3.5473757981500573
2016,Residential,Other Appliances,Other,___,Electricity,Standard,kunits,0.003650571840183323
2016,Residential,Clothe Dryer,___,___,Electricity,Standard,kunits,0.03517179698314454
2016,Residential,Clothe Washer,___,___,Electricity,Standard,kunits,0.046155393614142046
2016,Residential,Dish Washer,___,___,Electricity,Standard,kunits,0.026462767632624475
2016,Residential,Freezer,___,___,Electricity,Standard,kunits,0.0400409638046033
2016,Residential,Lighting,Fluocompact,___,Electricity,Standard,Mlm,0.0096339599408621
2016,Residential,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,0.05100233516804245
2016,Residential,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,0.05100901407956018
2016,Residential,Range,___,___,Electricity,Standard,kunits,0.01763720530904105
2016,Residential,Refrigerator,___,___,Electricity,Standard,kunits,0.04266011889553931
2016,Residential,Space Cooling,Central,___,Electricity,Standard,MW,8.080371881530752
2016,Residential,Space Cooling,Room,___,Electricity,Standard,MW,10.30831280565626
2016,Residential,Space Cooling,___,___,District Cooling,___,MW,59.12749667246588
2016,Residential,Space Heating,Furnace,___,Biomass,Standard,MW,13.702911124491482
2016,Residential,Space Heating,Furnace,___,Wood Pellet,Standard,MW,0.020813790423682497
2016,Residential,Space Heating,Furnace,___,Kerosene,Standard,MW,0.021048817725815516
2016,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,7.27271729641384
2016,Residential,Space Heating,Furnace,___,Natural Gas,High,MW,49.256817073704525
2016,Residential,Space Heating,Furnace,___,Natural Gas,Medium,MW,39.40850676973022
2016,Residential,Space Heating,Furnace,___,Propane,Standard,MW,0.02127752326856191
2016,Residential,Space Heating,Heat Pump,___,Electricity,Standard,MW,31.82609814008552
2016,Residential,Space Heating,Plinthe,___,Electricity,Standard,MW,14.736983810056138
