regions,tech,growthrate_max,growthrate_max_notes
TO,COMBDGHLCOldSHZTM___MEDETHOS_23,0,
TO,COMBDGWSTOldSHZTM___MEDETHOS_23,0,
TO,COMBDGHLCOldSHZTM___HIGETHOS_23,0,
TO,COMBDGWSTOldSHZTM___HIGETHOS_23,0,
TO,COMBDGOTSOldSHZTM___STDETHOS_23,0,
TO,COMBDGOTSOldSHZTM___MEDETHOS_23,0,
TO,COMBDGOTSOldSHZTM___HIGETHOS_23,0,
TO,COMBDGAFSOldSHZTM___STDETHOS_23,0,
TO,COMBDGOFFNewSHZTM___STDETHOS_23,0,
TO,COMBDGAEROldSHZTM___STDETHOS_23,0,
TO,COMBDGAFSOldSHZTM___MEDETHOS_23,0,
TO,COMBDGAFSOldSHZTM___HIGETHOS_23,0,
TO,COMBDGOFFNewSHZTM___MEDETHOS_23,0,
TO,COMBDGAEROldSHZTM___MEDETHOS_23,0,
TO,COMBDGOFFNewSHZTM___HIGETHOS_23,0,
TO,COMBDGAEROldSHZTM___HIGETHOS_23,0,
TO,COMBDGTAWOldSHZTM___STDETHOS_23,0,
TO,COMBDGTAWOldSHZTM___MEDETHOS_23,0,
TO,COMBDGTAWOldSHZTM___HIGETHOS_23,0,
TO,COMBDGRTTNewSHZTM___STDETHOS_23,0,
TO,COMBDGRTTNewSHZTM___MEDETHOS_23,0,
TO,COMBDGRTTNewSHZTM___HIGETHOS_23,0,
TO,COMBDGHLCNewSHZTM___STDETHOS_23,0,
TO,COMBDGEDSNewSHZTM___STDETHOS_23,0,
TO,COMBDGHLCNewSHZTM___MEDETHOS_23,0,
TO,COMBDGHLCNewSHZTM___HIGETHOS_23,0,
TO,COMBDGEDSNewSHZTM___MEDETHOS_23,0,
TO,COMBDGEDSNewSHZTM___HIGETHOS_23,0,
TO,COMBDGOTSNewSHZTM___STDETHOS_23,0,
TO,COMBDGTAWNewSHZTM___STDETHOS_23,0,
TO,COMBDGOTSNewSHZTM___MEDETHOS_23,0,
TO,COMBDGTAWNewSHZTM___MEDETHOS_23,0,
TO,COMBDGOTSNewSHZTM___HIGETHOS_23,0,
TO,COMBDGTAWNewSHZTM___HIGETHOS_23,0,
TO,COMBDGICIOldSHZTM___STDETHOS_23,0,
TO,COMBDGICIOldSHZTM___MEDETHOS_23,0,
TO,COMBDGICIOldSHZTM___HIGETHOS_23,0,
TO,COMBDGWSTNewSHZTM___STDETHOS_23,0,
TO,COMBDGWSTNewSHZTM___MEDETHOS_23,0,
TO,COMBDGWSTNewSHZTM___HIGETHOS_23,0,
TO,COMBDGAERNewSHZTM___STDETHOS_23,0,
TO,COMBDGAERNewSHZTM___MEDETHOS_23,0,
TO,COMBDGAERNewSHZTM___HIGETHOS_23,0,
TO,COMBDGAFSNewSHZTM___STDETHOS_23,0,
TO,COMBDGAFSNewSHZTM___MEDETHOS_23,0,
TO,COMBDGAFSNewSHZTM___HIGETHOS_23,0,
TO,COMBDGAFSOldLIFLUT5STDELC_23,1.1,
TO,COMBDGAEROldLIFLUT5STDELC_23,1.1,
TO,COMBDGAFSOldAM______STDELC_23,1.1,
TO,COMBDGAEROldAM______STDELC_23,1.1,
TO,COMBDGTAWOldAM______STDELC_23,1.1,
TO,COMBDGICIOldAM______STDELC_23,1.1,
TO,COMBDGWSTOldAM______STDELC_23,1.1,
TO,COMBDGRTTOldAM______STDELC_23,1.1,
TO,COMBDGOTSOldAM______STDELC_23,1.1,
TO,COMBDGICIOldSLLED___HIGELC_23,10,
TO,COMBDGAFSOldSLLED___HIGELC_23,10,
TO,COMBDGWSTOldSLLED___HIGELC_23,10,
TO,COMBDGAEROldSLLED___HIGELC_23,10,
TO,COMBDGRTTOldSLLED___HIGELC_23,10,
TO,COMBDGOTSOldSLLED___HIGELC_23,10,
TO,COMBDGTAWOldSLLED___HIGELC_23,10,
TO,COMBDGOFFOldAM______STDELC_23,1.1,
TO,COMBDGAEROldAE______STDBMA_23,1.1,
TO,COMBDGOFFOldSLLED___HIGELC_23,10,
TO,COMBDGAFSOldAE______STDBMA_23,1.1,
TO,COMBDGOTSOldAE______STDBMA_23,1.1,
TO,COMBDGRTTOldAE______STDBMA_23,1.1,
TO,COMBDGWSTOldAE______STDBMA_23,1.1,
TO,COMBDGTAWOldAE______STDBMA_23,1.1,
TO,COMBDGICIOldAE______STDBMA_23,1.1,
TO,COMBDGOFFOldAE______STDBMA_23,1.1,
TO,COMBDGEDSOldLIFLUT5STDELC_23,1.1,
TO,COMBDGWSTOldLIFLUT5STDELC_23,1.1,
TO,COMBDGRTTOldLIFLUT5STDELC_23,1.1,
TO,COMBDGOTSOldLIFLUT5STDELC_23,1.1,
TO,COMBDGICIOldLIFLUT5STDELC_23,1.1,
TO,COMBDGTAWOldLIFLUT5STDELC_23,1.1,
TO,COMBDGWSTOldSHFUR___HIGNGA_23,1.1,
TO,COMBDGRTTOldSHFUR___HIGNGA_23,1.1,
TO,COMBDGOTSOldSHFUR___HIGNGA_23,1.1,
TO,COMBDGAFSOldSHFUR___HIGNGA_23,1.1,
TO,COMBDGTAWOldSHFUR___HIGNGA_23,1.1,
TO,COMBDGAEROldSHFUR___HIGNGA_23,1.1,
TO,COMBDGOFFOldLIFLUT5STDELC_23,1.1,
TO,COMBDGEDSOldAM______STDELC_23,1.1,
TO,COMBDGICIOldSHFUR___HIGNGA_23,1.1,
TO,COMBDGOFFOldSHFUR___HIGNGA_23,1.1,
TO,COMBDGEDSOldSLLED___HIGELC_23,10,
TO,COMBDGAFSNewAM______STDELC_23,1.2,
TO,COMBDGAERNewAM______STDELC_23,1.2,
TO,COMBDGTAWNewAM______STDELC_23,1.2,
TO,COMBDGWSTNewAM______STDELC_23,1.2,
TO,COMBDGOTSNewAM______STDELC_23,1.2,
TO,COMBDGRTTNewAM______STDELC_23,1.2,
TO,COMBDGEDSOldAE______STDBMA_23,1.1,
TO,COMBDGHLCOldAM______STDELC_23,1.1,
TO,COMBDGAFSNewSLLED___HIGELC_23,1.2,
TO,COMBDGAERNewSLLED___HIGELC_23,1.2,
TO,COMBDGWSTNewSLLED___HIGELC_23,1.2,
TO,COMBDGTAWNewSLLED___HIGELC_23,1.2,
TO,COMBDGOTSNewSLLED___HIGELC_23,1.2,
TO,COMBDGRTTNewSLLED___HIGELC_23,1.2,
TO,COMBDGOFFNewAM______STDELC_23,1.2,
TO,COMBDGHLCOldSLLED___HIGELC_23,10,
TO,COMBDGWSTNewLIFLC___HIGELC_23,1.2,
TO,COMBDGTAWNewLIFLC___HIGELC_23,1.2,
TO,COMBDGOFFNewSLLED___HIGELC_23,1.2,
TO,COMBDGAFSNewLIFLC___HIGELC_23,1.2,
TO,COMBDGAERNewLIFLC___HIGELC_23,1.2,
TO,COMBDGOTSNewLIFLC___HIGELC_23,1.2,
TO,COMBDGRTTNewLIFLC___HIGELC_23,1.2,
TO,COMBDGOFFNewLIFLC___HIGELC_23,1.2,
TO,COMBDGHLCOldAE______STDBMA_23,1.1,
TO,COMBDGEDSOldSHFUR___HIGNGA_23,1.1,
TO,COMBDGHLCOldLIFLUT5STDELC_23,1.1,
TO,COMBDGAERNewSHFUR___HIGNGA_23,1.2,
TO,COMBDGEDSNewAM______STDELC_23,1.2,
TO,COMBDGWSTNewSHFUR___HIGNGA_23,1.2,
TO,COMBDGOTSNewSHFUR___HIGNGA_23,1.2,
TO,COMBDGHLCOldSHFUR___HIGNGA_23,1.1,
TO,COMBDGAFSNewSHFUR___HIGNGA_23,1.2,
TO,COMBDGEDSNewSLLED___HIGELC_23,1.2,
TO,COMBDGRTTNewSHFUR___HIGNGA_23,1.2,
TO,COMBDGTAWNewSHFUR___HIGNGA_23,1.2,
TO,COMBDGHLCNewAM______STDELC_23,1.2,
TO,COMBDGEDSNewLIFLC___HIGELC_23,1.2,
TO,COMBDGHLCNewSLLED___HIGELC_23,1.2,
TO,COMBDGWSTNewAE______STDNGA_23,1.2,
TO,COMBDGRTTNewAE______STDNGA_23,1.2,
TO,COMBDGOTSNewAE______STDNGA_23,1.2,
TO,COMBDGAERNewAE______STDNGA_23,1.2,
TO,COMBDGAFSNewAE______STDNGA_23,1.2,
TO,COMBDGTAWNewAE______STDNGA_23,1.2,
TO,COMBDGHLCNewLIFLC___HIGELC_23,1.2,
TO,COMBDGOFFNewAE______STDNGA_23,1.2,
TO,COMBDGOFFNewSHFUR___HIGNGA_23,1.2,
TO,COMBDGAEROldAE______STDNGA_23,1.1,
TO,COMBDGAFSOldAE______STDNGA_23,1.1,
TO,COMBDGEDSNewSHFUR___HIGNGA_23,1.2,
TO,COMBDGAFSOldSCCE___HIGNGA_23,1.1,
TO,COMBDGAEROldSCCE___HIGNGA_23,1.1,
TO,COMBDGAFSOldSCCE___STDNGA_23,1.1,
TO,COMBDGAEROldSCCE___STDNGA_23,1.1,
TO,COMBDGHLCNewSHFUR___HIGNGA_23,1.2,
TO,COMBDGEDSNewAE______STDNGA_23,1.2,
TO,COMBDGOTSOldSCCE___HIGNGA_23,1.1,
TO,COMBDGWSTOldSCCE___HIGNGA_23,1.1,
TO,COMBDGTAWOldSCCE___HIGNGA_23,1.1,
TO,COMBDGOTSOldSCCE___STDNGA_23,1.1,
TO,COMBDGICIOldSCCE___HIGNGA_23,1.1,
TO,COMBDGHLCNewAE______STDNGA_23,1.2,
TO,COMBDGEDSOldAE______STDNGA_23,1.1,
TO,COMBDGWSTOldSCCE___STDNGA_23,1.1,
TO,COMBDGWSTOldLIFLC___HIGELC_23,1.1,
TO,COMBDGICIOldLIFLC___HIGELC_23,1.1,
TO,COMBDGRTTOldLIFLC___HIGELC_23,1.1,
TO,COMBDGOTSOldLIFLC___HIGELC_23,1.1,
TO,COMBDGTAWOldLIFLC___HIGELC_23,1.1,
TO,COMBDGTAWOldSCCE___STDNGA_23,1.1,
TO,COMBDGOFFOldLIFLC___HIGELC_23,1.1,
TO,COMBDGRTTOldSCCE___HIGNGA_23,1.1,
TO,COMBDGICIOldSCCE___STDNGA_23,1.1,
TO,COMBDGRTTOldSCCE___STDNGA_23,1.1,
TO,COMBDGEDSOldSCCE___HIGNGA_23,1.1,
TO,COMBDGEDSOldSCCE___STDNGA_23,1.1,
TO,COMBDGHLCOldSCCE___HIGNGA_23,1.1,
TO,COMBDGHLCOldSCCE___STDNGA_23,1.1,
TO,COMBDGHLCOldLIFLC___HIGELC_23,1.1,
TO,COMBDGWSTNewAE______STDELC_23,1.2,
TO,COMBDGTAWNewAE______STDELC_23,1.2,
TO,COMBDGAFSNewAE______STDELC_23,1.2,
TO,COMBDGOFFNewAE______STDELC_23,1.2,
TO,COMBDGAERNewAE______STDELC_23,1.2,
TO,COMBDGOTSNewAE______STDELC_23,1.2,
TO,COMBDGICIOldAE______STDNGA_23,1.1,
TO,COMBDGWSTOldAE______STDNGA_23,1.1,
TO,COMBDGRTTNewAE______STDBMA_23,1.2,
TO,COMBDGRTTOldAE______STDNGA_23,1.1,
TO,COMBDGOTSOldAE______STDNGA_23,1.1,
TO,COMBDGTAWOldAE______STDNGA_23,1.1,
TO,COMBDGOFFOldAE______STDNGA_23,1.1,
TO,COMBDGRTTNewAE______STDELC_23,1.2,
TO,COMBDGOTSNewAE______STDBMA_23,1.2,
TO,COMBDGOFFOldSCCE___HIGNGA_23,1.1,
TO,COMBDGICIOldSCCE___ESRNGA_23,1.1,
TO,COMBDGAERNewAE______STDBMA_23,1.2,
TO,COMBDGAFSNewAE______STDBMA_23,1.2,
TO,COMBDGTAWNewAE______STDBMA_23,1.2,
TO,COMBDGRTTNewLIFLUT5STDELC_23,1.2,
TO,COMBDGOTSNewLIFLUT5STDELC_23,1.2,
TO,COMBDGAERNewLIFLUT5STDELC_23,1.2,
TO,COMBDGWSTNewAE______STDBMA_23,1.2,
TO,COMBDGAFSNewLIFLUT5STDELC_23,1.2,
TO,COMBDGOFFOldSCCE___STDNGA_23,1.1,
TO,COMBDGEDSNewAE______STDBMA_23,1.2,
TO,COMBDGWSTNewLIFLUT5STDELC_23,1.2,
TO,COMBDGEDSNewAE______STDELC_23,1.2,
TO,COMBDGTAWNewLIFLUT5STDELC_23,1.2,
TO,COMBDGHLCNewAE______STDBMA_23,1.2,
TO,COMBDGOFFNewAE______STDBMA_23,1.2,
TO,COMBDGHLCOldAE______STDNGA_23,1.1,
TO,COMBDGHLCNewAE______STDELC_23,1.2,
TO,COMBDGEDSNewLIFLUT5STDELC_23,1.2,
TO,COMBDGOFFNewLIFLUT5STDELC_23,1.2,
TO,COMBDGHLCNewLIFLUT5STDELC_23,1.2,
TO,COMBDGTAWOldSCCE___ESRNGA_23,1.1,
TO,COMBDGAEROldSCCE___ESRNGA_23,1.1,
TO,COMBDGAFSOldSCCE___ESRNGA_23,1.1,
TO,COMBDGOTSOldSCCE___ESRNGA_23,1.1,
TO,COMBDGAFSNewSCCE___STDNGA_23,1.2,
TO,COMBDGAFSNewSCCE___HIGNGA_23,1.2,
TO,COMBDGRTTNewSCCE___HIGNGA_23,1.2,
TO,COMBDGAERNewSCCE___HIGNGA_23,1.2,
TO,COMBDGWSTOldSCCE___ESRNGA_23,1.1,
TO,COMBDGOTSNewSCCE___HIGNGA_23,1.2,
TO,COMBDGHLCOldSCCE___ESRNGA_23,1.1,
TO,COMBDGTAWNewSCCE___HIGNGA_23,1.2,
TO,COMBDGAFSNewSCCE___ESRNGA_23,1.2,
TO,COMBDGTAWNewSCCE___STDNGA_23,1.2,
TO,COMBDGRTTNewSCCE___STDNGA_23,1.2,
TO,COMBDGWSTNewSCCE___HIGNGA_23,1.2,
TO,COMBDGEDSNewSCCE___HIGNGA_23,1.2,
TO,COMBDGAERNewSCCE___STDNGA_23,1.2,
TO,COMBDGOFFNewSCCE___HIGNGA_23,1.2,
TO,COMBDGOTSNewSCCE___STDNGA_23,1.2,
TO,COMBDGWSTNewSCCE___STDNGA_23,1.2,
TO,COMBDGHLCNewSCCE___HIGNGA_23,1.2,
TO,COMBDGAFSNewSHFUR___ESRNGA_23,1.2,
TO,COMBDGRTTOldSCCE___ESRNGA_23,1.1,
TO,COMBDGOFFNewSCCE___STDNGA_23,1.2,
TO,COMBDGRTTNewSCCE___ESRNGA_23,1.2,
TO,COMBDGEDSOldSCCE___ESRNGA_23,1.1,
TO,COMBDGAERNewSCCE___ESRNGA_23,1.2,
TO,COMBDGEDSNewSCCE___STDNGA_23,1.2,
TO,COMBDGOTSNewSCCE___ESRNGA_23,1.2,
TO,COMBDGTAWNewSCCE___ESRNGA_23,1.2,
TO,COMBDGHLCNewSCCE___STDNGA_23,1.2,
TO,COMBDGAFSNewSHFUR___STDNGA_23,1.2,
TO,COMBDGAEROldLIFLC___HIGELC_23,1.1,
TO,COMBDGWSTNewSCCE___ESRNGA_23,1.2,
TO,COMBDGEDSNewSCCE___ESRNGA_23,1.2,
TO,COMBDGAFSOldLIFLC___HIGELC_23,1.1,
TO,COMBDGOFFNewSCCE___ESRNGA_23,1.2,
TO,COMBDGHLCNewSCCE___ESRNGA_23,1.2,
TO,COMBDGEDSOldLIFLC___HIGELC_23,1.1,
TO,COMBDGAERNewSHFUR___ESRNGA_23,1.2,
TO,COMBDGOFFOldSCCE___ESRNGA_23,1.1,
TO,COMBDGAERNewSHFUR___STDNGA_23,1.2,
TO,COMBDGWSTNewSHFUR___ESRNGA_23,1.2,
TO,COMBDGWSTNewSHFUR___STDNGA_23,1.2,
TO,COMBDGTAWNewSHFUR___ESRNGA_23,1.2,
TO,COMBDGOTSNewSHFUR___ESRNGA_23,1.2,
TO,COMBDGTAWNewSHFUR___STDNGA_23,1.2,
TO,COMBDGOTSNewSHFUR___STDNGA_23,1.2,
TO,COMBDGAFSNewWHWTK___HIGNGA_23,1.2,
TO,COMBDGAFSNewWHWTK___ESRNGA_23,1.2,
TO,COMBDGAFSNewWHWTK___STDNGA_23,1.2,
TO,COMBDGEDSNewSHFUR___ESRNGA_23,1.2,
TO,COMBDGHLCNewSHFUR___ESRNGA_23,1.2,
TO,COMBDGTAWNewWHWTK___HIGNGA_23,1.2,
TO,COMBDGAERNewWHWTK___HIGNGA_23,1.2,
TO,COMBDGAERNewWHWTK___ESRNGA_23,1.2,
TO,COMBDGTAWNewWHWTK___ESRNGA_23,1.2,
TO,COMBDGICIOldSHFUR___ESRNGA_23,1.1,
TO,COMBDGTAWNewWHWTK___STDNGA_23,1.2,
TO,COMBDGAERNewWHWTK___STDNGA_23,1.2,
TO,COMBDGRTTNewSHFUR___ESRNGA_23,1.2,
TO,COMBDGAFSNewWHSYS___ESRPRO_23,1.2,
TO,COMBDGWSTNewWHWTK___HIGNGA_23,1.2,
TO,COMBDGWSTNewWHWTK___ESRNGA_23,1.2,
TO,COMBDGEDSNewSHFUR___STDNGA_23,1.2,
TO,COMBDGAFSNewWHSYS___STDBWP_23,1.2,
TO,COMBDGWSTNewWHWTK___STDNGA_23,1.2,
TO,COMBDGAFSNewWHSTHBCKSTDNGA_23,1.2,
TO,COMBDGHLCNewSHFUR___STDNGA_23,1.2,
TO,COMBDGAFSNewWHWTK___STDELC_23,1.2,
TO,COMBDGICIOldSHFUR___STDNGA_23,1.1,
TO,COMBDGTAWNewWHSYS___ESRPRO_23,1.2,
TO,COMBDGAFSNewSHPLT1500WSTDELC_23,1.2,
TO,COMBDGAERNewWHSYS___ESRPRO_23,1.2,
TO,COMBDGICIOldWHWTK___HIGNGA_23,1.1,
TO,COMBDGAFSNewWHSYS___STDKER_23,1.2,
TO,COMBDGAFSNewWHSYS___STDHFO_23,1.2,
TO,COMBDGAFSNewWHSYS___STDLFO_23,1.2,
TO,COMBDGICIOldWHWTK___ESRNGA_23,1.1,
TO,COMBDGAFSNewLIFLUT5HIGELC_23,1.2,
TO,COMBDGTAWNewWHSTHBCKSTDNGA_23,1.2,
TO,COMBDGTAWNewWHSYS___STDBWP_23,1.2,
TO,COMBDGRTTNewSHFUR___STDNGA_23,1.2,
TO,COMBDGAERNewWHSYS___STDBWP_23,1.2,
TO,COMBDGAERNewWHSTHBCKSTDNGA_23,1.2,
TO,COMBDGICIOldWHWTK___STDNGA_23,1.1,
TO,COMBDGAFSNewSHPLT1000WSTDELC_23,1.2,
TO,COMBDGTAWNewWHWTK___STDELC_23,1.2,
TO,COMBDGAFSNewSHFUR___STDELC_23,1.2,
TO,COMBDGAERNewWHWTK___STDELC_23,1.2,
TO,COMBDGWSTNewWHSYS___ESRPRO_23,1.2,
TO,COMBDGWSTNewWHSYS___STDBWP_23,1.2,
TO,COMBDGWSTNewWHSTHBCKSTDNGA_23,1.2,
TO,COMBDGOTSNewWHWTK___HIGNGA_23,1.2,
TO,COMBDGOTSNewWHWTK___ESRNGA_23,1.2,
TO,COMBDGAFSNewWHWTK___HIGELC_23,1.2,
TO,COMBDGTAWNewWHSYS___STDKER_23,1.2,
TO,COMBDGTAWNewWHSYS___STDHFO_23,1.2,
TO,COMBDGTAWNewWHSYS___STDLFO_23,1.2,
TO,COMBDGAFSNewAE______STDPRO_23,1.2,
TO,COMBDGAERNewWHSYS___STDKER_23,1.2,
TO,COMBDGAERNewWHSYS___STDHFO_23,1.2,
TO,COMBDGAERNewWHSYS___STDLFO_23,1.2,
TO,COMBDGOTSNewWHWTK___STDNGA_23,1.2,
TO,COMBDGOFFNewSHFUR___ESRNGA_23,1.2,
TO,COMBDGWSTNewWHWTK___STDELC_23,1.2,
TO,COMBDGICIOldWHSTHBCKSTDNGA_23,1.1,
TO,COMBDGAERNewSHPLT1500WSTDELC_23,1.2,
TO,COMBDGTAWOldWHWTK___HIGNGA_23,1.1,
TO,COMBDGAFSNewSHFUR___STDKER_23,1.2,
TO,COMBDGAFSNewSHFUR___STDHFO_23,1.2,
TO,COMBDGAFSNewSHFUR___STDLFO_23,1.2,
TO,COMBDGAFSNewSHPLT500WSTDELC_23,1.2,
TO,COMBDGTAWOldWHWTK___ESRNGA_23,1.1,
TO,COMBDGAFSNewSHFUR___HIGHFO_23,1.2,
TO,COMBDGAFSNewSHFUR___HIGLFO_23,1.2,
TO,COMBDGAERNewLIFLUT5HIGELC_23,1.2,
TO,COMBDGWSTNewWHSYS___STDKER_23,1.2,
TO,COMBDGWSTNewWHSYS___STDHFO_23,1.2,
TO,COMBDGWSTNewWHSYS___STDLFO_23,1.2,
TO,COMBDGTAWOldWHWTK___STDNGA_23,1.1,
TO,COMBDGAFSNewLIFLC___STDELC_23,1.2,
TO,COMBDGICIOldWHSYS___ESRPRO_23,1.1,
TO,COMBDGTAWNewWHWTK___HIGELC_23,1.2,
TO,COMBDGAFSNewLIFLUT8STDELC_23,1.2,
TO,COMBDGICIOldWHSYS___STDBWP_23,1.1,
TO,COMBDGAERNewWHWTK___HIGELC_23,1.2,
TO,COMBDGAERNewSHPLT1000WSTDELC_23,1.2,
TO,COMBDGICIOldAE______STDELC_23,1.1,
TO,COMBDGAERNewSHFUR___STDELC_23,1.2,
TO,COMBDGAFSNewWHSYS___STDBMA_23,1.2,
TO,COMBDGOFFNewSHFUR___STDNGA_23,1.2,
TO,COMBDGICIOldWHWTK___STDELC_23,1.1,
TO,COMBDGAFSNewSCWD___STDELC_23,1.2,
TO,COMBDGWSTNewLIFLUT5HIGELC_23,1.2,
TO,COMBDGAERNewAE______STDPRO_23,1.2,
TO,COMBDGOTSNewWHSTHBCKSTDNGA_23,1.2,
TO,COMBDGEDSNewWHWTK___HIGNGA_23,1.2,
TO,COMBDGOTSNewWHSYS___ESRPRO_23,1.2,
TO,COMBDGWSTNewWHWTK___HIGELC_23,1.2,
TO,COMBDGWSTNewSHPLT1500WSTDELC_23,1.2,
TO,COMBDGEDSNewWHWTK___ESRNGA_23,1.2,
TO,COMBDGOTSNewWHSYS___STDBWP_23,1.2,
TO,COMBDGAFSNewLILED___STDELC_23,1.2,
TO,COMBDGAFSNewSCWD___ESRELC_23,1.2,
TO,COMBDGEDSNewWHWTK___STDNGA_23,1.2,
TO,COMBDGTAWOldSHFUR___ESRNGA_23,1.1,
TO,COMBDGICIOldLIFLUT5HIGELC_23,1.1,
TO,COMBDGAFSNewLILED___HIGELC_23,1.2,
TO,COMBDGICIOldWHSYS___STDKER_23,1.1,
TO,COMBDGICIOldWHSYS___STDHFO_23,1.1,
TO,COMBDGICIOldWHSYS___STDLFO_23,1.1,
TO,COMBDGWSTNewAE______STDPRO_23,1.2,
TO,COMBDGTAWOldWHSTHBCKSTDNGA_23,1.1,
TO,COMBDGTAWNewWHSYS___STDBMA_23,1.2,
TO,COMBDGWSTNewSHPLT1000WSTDELC_23,1.2,
TO,COMBDGAERNewWHSYS___STDBMA_23,1.2,
TO,COMBDGAERNewSHPLT500WSTDELC_23,1.2,
TO,COMBDGRTTNewWHWTK___HIGNGA_23,1.2,
TO,COMBDGOTSNewWHWTK___STDELC_23,1.2,
